,id,avg_director_rating
0,717,7.11428571429
1,745,7.65555555556
2,843,5.5
3,884,4.65
4,996,2.6
5,1061,6.93333333333
6,1093,6.94
7,1108,7.15
8,1125,6.2
9,1269,7.1
10,1290,5.28
11,1322,8.5
12,1323,2.8
13,1333,6.0
14,1334,7.4
15,1403,7.6
16,1423,7.8
17,1442,5.22
18,1648,4.8
19,1731,6.94
20,1815,6.0
21,1820,4.2
22,1835,6.6
23,1836,6.1
24,1943,4.2
25,1947,7.8
26,2044,8.6
27,2097,7.05
28,2226,5.8
29,2234,7.55
30,2314,7.63333333333
31,2371,8.2
32,2411,7.2
33,2466,8.45
34,2561,7.63333333333
35,2573,4.2
36,2576,6.225
37,2704,4.1
38,2762,6.2
39,2766,6.66666666667
40,2776,5.5
41,2780,7.73333333333
42,2821,7.65
43,2823,6.4
44,2908,4.3
45,2959,6.0
46,3014,6.96363636364
47,3017,6.8
48,3093,5.0
49,3096,7.0
50,3128,4.4
51,3234,8.0
52,3272,7.7
53,3344,7.16
54,3364,6.3
55,3450,5.6
56,3457,8.6
57,3483,6.2
58,3498,7.8
59,3745,7.25
60,3826,7.6
61,3838,7.8
62,3886,5.45
63,3969,7.28461538462
64,4021,6.9
65,4083,9.0
66,4185,7.2
67,4291,6.8
68,4347,5.5
69,4409,4.8
70,4437,5.65
71,4490,6.7
72,4497,7.2
73,4522,7.5
74,4680,6.675
75,4726,6.03333333333
76,4811,4.8
77,4813,5.15
78,4839,6.8
79,4910,7.4
80,4915,7.5
81,4917,3.5
82,4919,7.0
83,4960,6.3
84,4975,5.4
85,4999,5.8
86,5152,7.3
87,5349,6.35
88,5384,5.23333333333
89,5430,7.9
90,5483,8.5
91,5518,7.6
92,5519,8.1
93,5636,7.9
94,5646,8.1
95,5648,7.2
96,5726,9.2
97,5868,6.7
98,5966,7.3
99,5984,4.1
100,6244,7.6
101,6284,5.73333333333
102,6321,4.8
103,6342,9.8
104,6354,6.8
105,6359,3.9
106,6360,7.6
107,6431,6.9
108,6454,7.0
109,6503,10.0
110,6535,6.4
111,6552,6.35
112,6569,6.5
113,6587,5.2
114,6714,6.6125
115,6718,2.46666666667
116,6743,7.04
117,6753,5.5
118,6781,8.2
