,movie_id,rating
0,2703150,5.9
1,2703155,5.8
2,2703156,7.7
3,2703169,6.7
4,2703175,5.4
5,2703183,4.1
6,2703187,9.2
7,2703192,5.7
8,2703207,6.6
9,2703206,5.2
10,2703278,4.4
11,2703299,8.2
12,2703305,8.6
13,2703306,3.3
14,2703346,5.3
15,2703354,7.7
16,2703359,3.1
17,2703373,9.4
18,2703377,8.6
19,2703381,8.6
20,2703384,5.5
21,2703394,5.0
22,2703397,7.4
23,2703406,9.1
24,2703425,6.5
25,2703435,7.3
26,2703437,6.0
27,2703446,7.2
28,2703448,5.7
29,2703476,6.1
30,2703486,7.3
31,2703491,7.4
32,2703510,4.6
33,2703512,6.9
34,2703513,6.3
35,2703517,5.2
36,2703519,7.9
37,2703227,7.2
38,2703250,7.1
39,2703284,5.3
40,2703292,7.3
41,2703362,6.6
42,2703443,8.8
43,2703478,7.1
44,2703497,8.0
45,2703567,7.0
46,2703577,4.2
47,2703578,5.5
48,2703585,7.3
49,2703586,8.0
50,2703602,8.8
51,2703608,5.3
52,2703628,8.9
53,2703631,7.9
54,2703639,7.2
55,2703640,6.2
56,2703642,6.8
57,2703654,5.8
58,2703862,8.8
59,2703933,3.9
60,2703981,7.1
61,2704009,5.7
62,2704098,8.7
63,2704148,7.2
64,2704160,8.4
65,2704262,8.0
66,2704320,8.1
67,2704321,8.2
68,2704350,9.3
69,2704481,8.0
70,2704051,7.5
71,2704054,4.6
72,2704059,5.9
73,2704492,4.6
74,2704498,8.3
75,2704504,8.2
76,2704508,6.1
77,2704519,5.5
78,2704538,7.5
79,2704553,9.0
80,2704572,6.0
81,2704583,8.7
82,2704592,7.6
83,2704625,6.3
84,2704633,6.7
85,2704645,7.0
86,2704646,3.7
87,2704651,5.3
88,2704672,6.8
89,2704676,8.0
90,2704684,7.6
91,2704691,9.2
92,2704713,7.6
93,2704715,7.9
94,2704724,8.3
95,2704727,4.0
96,2704745,5.5
97,2704753,8.2
98,2704755,4.5
99,2704772,5.0
100,2704776,5.6
101,2705018,8.9
102,2705024,6.0
103,2705032,6.9
104,2705053,8.4
105,2705057,6.9
106,2705165,8.2
107,2704947,9.8
108,2705213,4.9
109,2705256,7.2
110,2705265,5.6
111,2705280,5.7
112,2705291,7.3
113,2705295,5.8
114,2705296,5.9
115,2705312,3.6
116,2705315,8.5
117,2705343,6.0
118,2705344,4.5
119,2705356,6.4
120,2705369,8.5
121,2705384,6.6
122,2705386,7.3
123,2705392,6.7
124,2705393,5.2
125,2705443,4.2
126,2705450,7.0
127,2705456,7.8
128,2705468,8.0
129,2705477,8.5
130,2705478,8.2
131,2705480,8.5
132,2705502,4.7
133,2705512,5.1
134,2705543,8.6
135,2705547,9.9
136,2705568,7.5
137,2705575,8.5
138,2705607,6.6
139,2705631,6.8
140,2705635,7.4
141,2705501,5.4
142,2705597,9.7
143,2705601,6.8
144,2705610,5.9
145,2705649,6.4
146,2705691,8.7
147,2705698,7.5
148,2705715,6.9
149,2705779,8.8
150,2705782,6.6
151,2705785,8.5
152,2705805,6.4
153,2705818,6.9
154,2705820,3.4
155,2705830,4.3
156,2705835,5.0
157,2705846,8.4
158,2705859,4.8
159,2705862,7.3
160,2705866,8.4
161,2705871,7.4
162,2705896,5.2
163,2705907,5.1
164,2705908,6.2
165,2705911,1.9
166,2705963,7.6
167,2705964,5.7
168,2705966,6.5
169,2705968,7.5
170,2705988,7.5
171,2705989,8.6
172,2706052,3.7
173,2706076,7.2
174,2706083,6.4
175,2706084,7.3
176,2706119,5.0
177,2706121,6.1
178,2706125,8.2
179,2705837,8.2
180,2705863,1.7
181,2705904,7.0
182,2705922,5.3
183,2706026,7.2
184,2706033,5.7
185,2706048,4.8
186,2706049,4.7
187,2706140,7.1
188,2706141,7.1
189,2706143,6.5
190,2706153,2.7
191,2706165,5.9
192,2706187,3.0
193,2706189,3.9
194,2706190,3.6
195,2706191,6.7
196,2706193,7.2
197,2706201,7.8
198,2706231,6.0
199,2706253,6.3
200,2706255,3.8
201,2706257,2.4
202,2706270,4.0
203,2706322,3.0
204,2706369,9.0
205,2706378,5.7
206,2706391,4.1
207,2706447,6.5
208,2706220,5.8
209,2706324,5.1
210,2706327,5.6
211,2706533,7.0
212,2706534,6.0
213,2706503,4.8
214,2706585,4.5
215,2706589,6.3
216,2706600,6.4
217,2706637,6.2
218,2706641,5.2
219,2706657,5.6
220,2706676,6.9
221,2706677,8.7
222,2706685,7.4
223,2706703,6.4
224,2706706,9.3
225,2706715,7.1
226,2706716,8.8
227,2706748,7.3
228,2706791,9.4
229,2706804,4.9
230,2706749,5.1
231,2706816,4.2
232,2706895,5.8
233,2706897,7.7
234,2706914,8.3
235,2706934,5.7
236,2706959,5.1
237,2706950,5.7
238,2706989,3.0
239,2706997,6.1
240,2707011,7.5
241,2707029,6.5
242,2707013,5.8
243,2707036,4.1
244,2707039,7.0
245,2707056,4.0
246,2707058,6.4
247,2707063,5.8
248,2707067,8.6
249,2707073,5.8
250,2707075,7.1
251,2707117,7.8
252,2707126,7.3
253,2707150,8.6
254,2707167,7.0
255,2707224,6.9
256,2707225,7.5
257,2707226,9.8
258,2707232,5.6
259,2707256,6.1
260,2707267,7.0
261,2707271,2.8
262,2707277,6.9
263,2707297,4.5
264,2707302,4.9
265,2707315,5.3
266,2707316,5.0
267,2707317,7.6
268,2707354,7.2
269,2707358,8.4
270,2707370,6.5
271,2707402,6.4
272,2707410,7.1
273,2707421,5.4
274,2707422,5.4
275,2707428,3.9
276,2707466,8.1
277,2707469,7.3
278,2707285,5.1
279,2707326,4.9
280,2707360,5.1
281,2707361,5.6
282,2707398,6.2
283,2707471,5.2
284,2707474,5.0
285,2707488,1.8
286,2707491,6.3
287,2707502,9.1
288,2707524,6.2
289,2707559,6.8
290,2707573,6.6
291,2707595,8.9
292,2707676,4.5
293,2707677,8.4
294,2707700,5.5
295,2707703,7.3
296,2707761,9.2
297,2707762,6.3
298,2707765,6.2
299,2707651,5.2
300,2707786,8.0
