,movie_id,mpaa
35,2713827,Rated PG for some mild thematic elements and rude humor
36,2713855,"Rated PG-13 for sexual content, brief nudity, thematic material, and smoking throughout"
37,2713903,"Rated PG-13 for intense sequences of violence and action, some sensuality and language (certificte #48907)"
38,2714134,Rated R for language and some sexual content
39,2714472,"Rated R for sexual content, nudity and language"
40,2714561,"Rated R for crude and sexual content, pervasive language, nudity and some violence"
41,2714576,"Rated R for strong crude and sexual content throughout, nudity, language and some drug material"
42,2714757,"Rated R for strong sustained sequences of stylized bloody violence throughout, a sex scene, nudity and some language"
43,2714807,"Rated R for strong bloody horror violence, pervasive language, sexual content and drug use (cut)"
44,2715000,Rated R for some crude sexual content
45,2715085,Rated R for violence
46,2715094,"Rated R for sexuality, nudity and language"
47,2715867,Rated PG for some mild thematic elements
48,2715887,Rated PG-13 for brief strong language and some pregnancy issues
49,2716019,"Rated PG-13 for violence, sensuality and partial nudity"
50,2716046,Rated PG-13 for thematic elements including language
51,2716220,Rated R for language and brief sexuality
52,2716274,"Rated PG-13 for intense sequences of violence and action, some disturbing images, and thematic elements"
53,2716284,Rated R for a scene of violence
54,2716432,"Rated R for a scene of strong sexuality, nudity, language and some drug content"
55,2716602,"Rated R for strong bloody violence, a sexual assault and language throughout"
56,2716625,"Rated R for strong bloody war violence and atrocities, and for pervasive language."
57,2716663,PG-13 for language and some nude images
58,2716880,Rated R for some sexual material
59,2717101,Rated PG-13 for some suggestive material and a bar brawl.
60,2717164,"Rated R for language throughout, sexual content and some drug use"
61,2717260,Rated R for bloody violence
62,2717447,Rated PG-13 for some mature thematic material
63,2717586,"Rated R for violence, disturbing images, language and sexual content"
64,2717668,Rated R for language including some sexual references
65,2717683,"Rated R for language, some violence/terror and teen partying/drug material"
66,2717853,Rated R for language throughout and some violence
67,2718216,Rated R for violence
68,2718224,"Rated R for violence, sexuality/nudity and language"
69,2718929,"Rated PG - 13 for mature disturbing thematic material involving sex trafficking, violence/menace, and drug content"
70,2719691,Rated PG-13 for intense accident and injury images
71,2719865,Rated R for violent content and pervasive language
72,2719942,"Rated R for language including some sexual references, and a brief violent image"
73,2719974,Rated R for language.
74,2720608,"Rated R for language, sexual material and a brief bloody image"
75,2720615,Rated PG-13 for violence and some sensuality
76,2720692,Rated PG for mild thematic material and rude humor
77,2720737,"Rated PG-13 for some violence, language and brief drug use"
78,2720832,"Rated R for graphic nudity, some strong sexual content, language and brief drug use"
79,2720878,Rated PG-13 for some sexual content and accident images
80,2720882,"Rated PG-13 on appeal for language, sex and drug references, and brief partial nudity"
81,2721351,"Rated PG-13 for thematic elements involving bullying, and for brief strong language"
82,2722116,"Rated R for language, some sexual references and drug use"
83,2722266,"Rated R for strong violence, pervasive language, some sexual content and drug use"
84,2723125,Rated PG-13 for western violence and some smoking
85,2723229,Rated PG-13 for some violence and brief strong language
86,2723569,Rated PG for mild thematic elements
87,2723964,"Rated R for disturbing violent content and images, sexual content including an assault, graphic nudity, and language"
88,2724091,Rated R for sexual content and brief language
89,2725438,Rated PG for thematic elements and some peril
90,2726172,Rated R for language
91,2726202,Rated PG-13 for a violent image and brief strong language
92,2726575,Rated R for bloody sports images and language including sexual references
93,2726679,"Rated PG for thematic elements, language and some peril"
94,2727128,Rated R for language throughout
95,2727768,"Rated PG-13 for disturbing thematic material involving teens, and for language"
96,2727953,Rated R for language and some nudity
97,2728080,Rated R for violence and language
98,2728168,"Rated R for violence/disturbing images, some sexuality and language"
99,2728185,"Rated R for pervasive strong sexual content, graphic nudity and language"
100,2728758,"Rated R for crude and sexual content, language and some drug use"
101,2728759,"Rated R for crude and sexual content, nudity, pervasive language, drug use and some violent images"
102,2729052,"Rated R for violence throughout, language, sexual material and some drug content"
103,2729126,"Rated R for some sexuality/nudity, language and brief drug use"
104,2729230,Rated PG for some mild thematic elements
105,2729926,Rated R for language and some violence
106,2730210,Rated PG-13 for some sexuality/nudity and language
107,2730394,Rated R for language and some sexuality
108,2730629,"Rated R for strong and crude sexual content including graphic animated sequences, language and some violent images"
109,2730820,Rated R for some teen sexuality and drug use
110,2730937,"Rated PG-13 for sexual content, including crude references, and language"
111,2730955,"Rated R for some bloody violence, language throughout and brief nudity"
112,2730967,Rated R for some sexuality and brief nudity
113,2731013,Rated PG for mild language and thematic elements
114,2731261,Rated R for language and some strong violence
115,2731319,Rated R for language
116,2731334,"Rated PG for thematic elements, some suggestive content and smoking"
117,2731734,"Rated PG-13 for sexual references, crude humor and language"
118,2732301,Rated PG for mild thematic elements
119,2732402,"Rated PG-13 for some violence, a sexual reference and smoking throughout"
120,2732527,Rated PG- 13 for language and crude humor throughout
121,2732844,"Rated R for strong crude and sexual content, language throughout, some violence and drug material"
122,2732928,"Rated PG for thematic elements, brief mild language and some disturbing images"
123,2733261,Rated PG-13 for thematic content and some scary images
124,2733399,Rated R for language and some violence
125,2733400,Rated R for language
126,2733457,"Rated PG-13 for thematic elements involving drugs, and for brief violence"
127,2733542,"Rated PG for some mild rude language, humor and scary images"
128,2733650,"Rated PG - 13 for disturbing crime scene photos and reenactments, drug material and brief language."
129,2733778,"Rated R for disturbing violent and sexual content, nudity and language"
130,2734411,Rated R for disturbing violent content and bloody images
131,2735139,Rated R for language including some sexual references
132,2735161,"Rated R for language, some sexual content and brief drug use"
133,2735195,Rated R for violence
134,2735498,Rated PG for thematic elements and brief mild language
135,2736189,Rated R for a scene of sexuality
136,2736964,Rated R for sexual references
137,2737017,"Rated R for violence including bloody images, and for language"
138,2737429,Rated PG-13 for some sexual content and brief drug elements
139,2737860,"Rated PG for mild thematic elements, and brief language"
140,2738260,Rated R for language including sexual references
141,2738546,"Rated R for some strong violence, sexual content, nudity, language and brief drug use"
142,2739627,Rated PG-13 for some suggestive material.
143,2740209,Rated PG-13 for thematic content and some disturbing violent images
144,2740783,"Rated PG-13 for sexual situations including dialogue, language and some drug-related humor"
145,2742034,"Rated R for strong crude and sexual content, graphic nudity, pervasive language, drug use and some violence"
146,2742244,"Rated R for violence, some graphic nudity and brief language"
147,2742621,"Rated R for strong violence, disturbing images, language and brief nudity"
148,2742674,Rated R for language and some sexual references
149,2742805,"Rated PG for some thematic elements, language and rough sports action"
150,2743853,"Rated PG-13 for a scene of sensuality, brief strong language and thematic material"
151,2744204,Rated R for language and brief sexual content
152,2745163,"Rated PG-13 for mature thematic issues, language, some sexuality and violence"
153,2745859,Rated R for language
154,2746038,"Rated PG-13 for sequences of intense violence and action, brief language, some sexual content and teen partying"
155,2746169,"Rated PG for thematic elements, brief violence and a smoking image"
156,2746809,Rated R for language and drug use
157,2746827,"Rated R for sexual content, including nudity, language and some drug material"
158,2746866,"Rated R for language, some sexual content and drug use"
159,2746888,"Rated R for sexual content, language and brief drug use"
160,2746961,Rated R for language and some sexual content
161,2747138,Rated R for violence throughout and brief sexuality
162,2747438,Rated R for language and some disturbing images
163,2747499,Rated R for some violence
164,2747513,Rated R for violence
165,2747564,"Rated R for language including sexual references, and some drug use"
166,2747617,"Rated R for strong violence, language and some drug use"
167,2748244,Rated PG-13 for sexual contact and language
168,2748526,"Rated PG-13 for some elements of violence and peril, and brief teen drinking"
169,2748535,Rated PG for some mild action and brief smoking
170,2749411,"Rated R for strong violence including some torture, and for language"
171,2750604,"Rated R for strong sexual content, nudity, language and brief drug use"
172,2750715,"Rated PG for thematic material involving smoking and addiction, and for some language (re-rating)"
173,2750715,Rated PG-13 for brief language (original rating)
174,2751410,Rated PG-13 for language and some sexual material
175,2751624,Rated R for sexual content and language
176,2751865,Rated R for language and some drug use.
177,2751928,Rated R for sexual content and some drug use
178,2752411,"Rated PG-13 for violence, partial nudity, drug material, and theme"
